skeleton_path	marker_name	marker_index
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	RKNEmed	1
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	RTHI	1
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	RTHI2	1
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	RTHI3	1
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	RANKmed	2
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	RTIB	2
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	RTIB2	2
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	RTIB3	2
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	LKNEmed	6
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	LTHI	6
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	LTHI2	6
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	LTHI3	6
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	LANKmed	7
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	LTIB	7
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	LTIB2	7
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	LTIB3	7
../data/dev/Falisse2017_Formatted_No_Arm_subject_0.b3d	RBAK	11
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	RKNEmed	1
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	RTHI	1
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	RTHI2	1
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	RTHI3	1
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	RANKmed	2
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	RTIB	2
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	RTIB2	2
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	RTIB3	2
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	LKNEmed	6
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	LTHI	6
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	LTHI2	6
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	LTHI3	6
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	LANKmed	7
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	LTIB	7
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	LTIB2	7
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	LTIB3	7
../data/dev/Falisse2017_Formatted_No_Arm_subject_1.b3d	RBAK	11
../data/dev/Carter2023_Formatted_No_Arm_P003_split5.b3d	RTH1	1
../data/dev/Carter2023_Formatted_No_Arm_P003_split5.b3d	RTH2	1
../data/dev/Carter2023_Formatted_No_Arm_P003_split5.b3d	RTH3	1
