time	marker_0_x marker_0_y marker_0_z marker_1_x marker_1_y marker_1_z marker_2_x marker_2_y marker_2_z marker_3_x marker_3_y marker_3_z marker_4_x marker_4_y marker_4_z marker_5_x marker_5_y marker_5_z marker_6_x marker_6_y marker_6_z marker_7_x marker_7_y marker_7_z marker_8_x marker_8_y marker_8_z marker_9_x marker_9_y marker_9_z marker_10_x marker_10_y marker_10_z marker_11_x marker_11_y marker_11_z marker_12_x marker_12_y marker_12_z marker_13_x marker_13_y marker_13_z marker_14_x marker_14_y marker_14_z marker_15_x marker_15_y marker_15_z marker_16_x marker_16_y marker_16_z marker_17_x marker_17_y marker_17_z marker_18_x marker_18_y marker_18_z marker_19_x marker_19_y marker_19_z marker_20_x marker_20_y marker_20_z marker_21_x marker_21_y marker_21_z marker_22_x marker_22_y marker_22_z marker_23_x marker_23_y marker_23_z marker_24_x marker_24_y marker_24_z marker_25_x marker_25_y marker_25_z marker_26_x marker_26_y marker_26_z marker_27_x marker_27_y marker_27_z marker_28_x marker_28_y marker_28_z marker_29_x marker_29_y marker_29_z marker_30_x marker_30_y marker_30_z marker_31_x marker_31_y marker_31_z marker_32_x marker_32_y marker_32_z marker_33_x marker_33_y marker_33_z marker_34_x marker_34_y marker_34_z marker_35_x marker_35_y marker_35_z marker_36_x marker_36_y marker_36_z marker_37_x marker_37_y marker_37_z marker_38_x marker_38_y marker_38_z marker_39_x marker_39_y marker_39_z marker_40_x marker_40_y marker_40_z marker_41_x marker_41_y marker_41_z marker_42_x marker_42_y marker_42_z marker_43_x marker_43_y marker_43_z marker_44_x marker_44_y marker_44_z marker_45_x marker_45_y marker_45_z marker_46_x marker_46_y marker_46_z marker_47_x marker_47_y marker_47_z marker_48_x marker_48_y marker_48_z marker_49_x marker_49_y marker_49_z marker_50_x marker_50_y marker_50_z marker_51_x marker_51_y marker_51_z marker_52_x marker_52_y marker_52_z marker_53_x marker_53_y marker_53_z marker_54_x marker_54_y marker_54_z marker_55_x marker_55_y marker_55_z marker_56_x marker_56_y marker_56_z marker_57_x marker_57_y marker_57_z marker_58_x marker_58_y marker_58_z marker_59_x marker_59_y marker_59_z marker_60_x marker_60_y marker_60_z marker_61_x marker_61_y marker_61_z marker_62_x marker_62_y marker_62_z marker_63_x marker_63_y marker_63_z marker_64_x marker_64_y marker_64_z marker_65_x marker_65_y marker_65_z marker_66_x marker_66_y marker_66_z marker_67_x marker_67_y marker_67_z marker_68_x marker_68_y marker_68_z marker_69_x marker_69_y marker_69_z marker_70_x marker_70_y marker_70_z marker_71_x marker_71_y marker_71_z marker_72_x marker_72_y marker_72_z marker_73_x marker_73_y marker_73_z marker_74_x marker_74_y marker_74_z marker_75_x marker_75_y marker_75_z marker_76_x marker_76_y marker_76_z marker_77_x marker_77_y marker_77_z marker_78_x marker_78_y marker_78_z marker_79_x marker_79_y marker_79_z marker_80_x marker_80_y marker_80_z marker_81_x marker_81_y marker_81_z marker_82_x marker_82_y marker_82_z marker_83_x marker_83_y marker_83_z marker_84_x marker_84_y marker_84_z marker_85_x marker_85_y marker_85_z marker_86_x marker_86_y marker_86_z marker_87_x marker_87_y marker_87_z marker_88_x marker_88_y marker_88_z marker_89_x marker_89_y marker_89_z marker_90_x marker_90_y marker_90_z marker_91_x marker_91_y marker_91_z marker_92_x marker_92_y marker_92_z marker_93_x marker_93_y marker_93_z marker_94_x marker_94_y marker_94_z marker_95_x marker_95_y marker_95_z marker_96_x marker_96_y marker_96_z marker_97_x marker_97_y marker_97_z marker_98_x marker_98_y marker_98_z marker_99_x marker_99_y marker_99_z
1706739342898	873.8922119140625 -580.97265625 1459.0985107421875 982.270263671875 -591.602783203125 1422.5435791015625 1345.7191162109375 -618.961669921875 1298.64404296875 1072.6448974609375 -69.96279907226562 1600.51318359375 
1706739342899	709.6918334960938 -592.6587524414062 1296.220703125 793.4457397460938 -558.5313110351562 1366.7154541015625 1074.0421142578125 -437.86614990234375 1599.998291015625 1078.2957763671875 -70.88225555419922 1600.8411865234375 
1706739342900	870.1805419921875 -579.6566162109375 1459.99267578125 979.0350341796875 -590.200439453125 1424.948486328125 1344.4075927734375 -617.0545043945312 1306.985107421875 1072.798095703125 -70.03376007080078 1600.4525146484375 
1706739342901	866.0130615234375 -578.3663330078125 1460.0628662109375 975.6458740234375 -588.9000244140625 1427.1666259765625 1343.0687255859375 -614.9718017578125 1315.3214111328125 1073.0548095703125 -70.09874725341797 1600.4161376953125 
1706739342901	862.3990478515625 -577.2120971679688 1460.272216796875 972.3470458984375 -587.5608520507812 1429.299072265625 1341.6099853515625 -612.6188354492188 1323.5535888671875 1073.3231201171875 -70.1830825805664 1600.3865966796875 
1706739342902	858.4835815429688 -576.2369384765625 1460.5113525390625 969.1359252929688 -586.1475830078125 1431.2939453125 1340.12109375 -610.1443481445312 1331.656005859375 1073.5196533203125 -70.25186920166016 1600.3719482421875 
1706739342903	854.7369995117188 -575.5126953125 1460.453369140625 965.7861938476562 -584.939208984375 1433.1815185546875 1338.5377197265625 -607.5929565429688 1339.775634765625 1073.63232421875 -70.33905792236328 1600.3790283203125 
1706739342904	850.69677734375 -574.9144897460938 1460.40283203125 962.5516357421875 -583.814208984375 1434.953369140625 1336.8768310546875 -604.9007568359375 1347.8236083984375 1073.84130859375 -70.41425323486328 1600.3951416015625 
1706739342904	846.9149169921875 -574.3541870117188 1460.114013671875 959.209228515625 -582.7348022460938 1436.57470703125 1335.0594482421875 -602.129638671875 1355.8145751953125 1073.990234375 -70.49820709228516 1600.375732421875 
1706739342905	843.4371948242188 -573.7560424804688 1459.6129150390625 955.9552001953125 -581.7205200195312 1438.107421875 1333.22509765625 -599.2080078125 1363.7047119140625 1074.156005859375 -70.59822845458984 1600.3946533203125 
1706739342905	839.6824951171875 -573.3453369140625 1459.2120361328125 952.9058837890625 -580.3095703125 1439.2513427734375 1331.251708984375 -596.1296997070312 1371.594482421875 1074.1719970703125 -70.64403533935547 1600.31640625 
1706739342906	835.7352905273438 -573.3005981445312 1458.54638671875 949.5916137695312 -579.4010009765625 1440.531494140625 1329.1619873046875 -592.9197998046875 1379.3873291015625 1074.3001708984375 -70.69490814208984 1600.3211669921875 799.8038940429688 -730.130126953125 1500.1510009765625 
1706739342906	832.149169921875 -573.259033203125 1457.559814453125 946.2715454101562 -578.5202026367188 1441.6552734375 1326.9390869140625 -589.7047119140625 1387.1688232421875 1074.467041015625 -70.73577880859375 1600.352294921875 797.2550659179688 -729.2070922851562 1504.0211181640625 
1706739342907	828.5607299804688 -573.1577758789062 1456.496337890625 942.9776000976562 -577.7047729492188 1442.6412353515625 1324.63623046875 -586.343017578125 1394.864990234375 1074.6329345703125 -70.7852783203125 1600.377685546875 734.7109375 -788.781982421875 1538.359375 
1706739342907	825.0481567382812 -573.2301635742188 1455.3271484375 939.6558837890625 -576.9474487304688 1443.5218505859375 1322.169189453125 -582.7888793945312 1402.433349609375 1074.8006591796875 -70.84297180175781 1600.4012451171875 909.7766723632812 -589.9645385742188 1483.2078857421875 
